id,user,uid,version,changeset,timestamp
11522332,yusha5,7918503,6,63826890,2018-10-24T10:25:16Z
11522719,yusha5,7918503,7,63828969,2018-10-24T11:35:44Z
11522787,GO_OSM,282860,4,33331291,2015-08-14T08:31:55Z
11522814,GO_OSM,282860,3,33331291,2015-08-14T08:31:55Z
11522899,ahab003,4497723,5,43040393,2016-10-20T17:49:52Z
11522919,yusha5,7918503,4,63826890,2018-10-24T10:25:16Z
11522974,yusha5,7918503,7,63826890,2018-10-24T10:25:16Z
11523021,yusha5,7918503,5,63826890,2018-10-24T10:25:16Z
11523130,yusha5,7918503,3,63834609,2018-10-24T14:19:23Z
11523348,yusha5,7918503,5,63826890,2018-10-24T10:25:16Z
11523625,LSM_corrector,11307702,7,86295918,2020-06-07T01:57:15Z
11523881,historicalYas,7532068,11,62791140,2018-09-21T10:08:34Z
11523896,historicalYas,7532068,9,62791140,2018-09-21T10:08:34Z
11524726,Enock4seth,1803854,11,67946975,2019-03-09T02:17:21Z
11524775,yusha5,7918503,18,63835394,2018-10-24T14:39:38Z
11524813,Enock4seth,1803854,37,91564946,2020-09-26T22:11:51Z
11525163,historicalYas,7532068,28,62791140,2018-09-21T10:08:34Z
11525233,historicalYas,7532068,12,62791140,2018-09-21T10:08:35Z
11526328,yusha5,7918503,8,63834609,2018-10-24T14:19:23Z
11526629,yusha5,7918503,8,63834609,2018-10-24T14:19:23Z
11526929,Enock4seth,1803854,8,60118860,2018-06-24T11:47:47Z
11527031,Enock4seth,1803854,24,91564946,2020-09-26T22:11:51Z
11527224,Speedy55,3775202,8,43020715,2016-10-19T21:56:14Z
11528078,GO_OSM,282860,6,40339475,2016-06-28T09:49:11Z
11529315,mfbehrens99,9645335,6,81597044,2020-02-28T15:31:41Z
11657993,Enock4seth,1803854,18,91564946,2020-09-26T22:11:51Z
11658036,Enock4seth,1803854,9,91564946,2020-09-26T22:11:51Z
11658655,Enock4seth,1803854,16,91564946,2020-09-26T22:11:51Z
11661148,Enock4seth,1803854,12,69723590,2019-04-30T08:20:05Z
11661835,Enock4seth,1803854,11,60947412,2018-07-22T09:32:33Z
11662269,Sammyhawkrad,6406545,4,98590818,2021-02-02T16:45:10Z
11662544,Michael Baidoo,12280809,4,95370705,2020-12-06T15:40:01Z
11662794,theplateau,8710044,14,63836831,2018-10-24T15:20:07Z
11662892,Enock4seth,1803854,7,91564946,2020-09-26T22:11:51Z
11663045,GO_OSM,282860,6,35337879,2015-11-15T21:42:38Z
11663192,Enock4seth,1803854,19,50923161,2017-08-07T17:05:13Z
11663310,technoH,8610624,9,63868031,2018-10-25T13:42:22Z
